,Phrase1,Phrase2
537,4.mp4.md,4_Three_Category_Of_Techniques_for_NLP__NLP_Tutorial_For_Beginners_In_Python_-_4.mp4.md
538,5.mp4.md,5_NLP_Tasks_NLP_Tutorial_For_Beginners_In_Python_-_5.mp4.md
539,5.mp4.md,5_NLP_Tasks_NLP_Tutorial_For_Beginners_In_Python_-_5.mp4.md
540,6.mp4.md,6_NLP_Pipeline_NLP_Tutorial_For_Beginners_In_Python_-_6.mp4.md
541,6.mp4.md,6_NLP_Pipeline_NLP_Tutorial_For_Beginners_In_Python_-_6.mp4.md
542,7.mp4.md,7_Spacy_vs_NLTK_NLP_Tutorial_For_Beginners_In_Python_-_7.mp4.md
543,7.mp4.md,7_Spacy_vs_NLTK_NLP_Tutorial_For_Beginners_In_Python_-_7.mp4.md
544,8.mp4.md,8_Tokenization_in_Spacy_NLP_Tutorial_For_Beginners_-_8.mp4.md
545,8.mp4.md,8_Tokenization_in_Spacy_NLP_Tutorial_For_Beginners_-_8.mp4.md
546,9.mp4.md,9_Language_Processing_Pipeline_in_Spacy_NLP_Tutorial_For_Beginners_-_9.mp4.md
